Panel,Group,Method,ID Acc,BreastMRI_fpr95,BreastMRI_aupr,BreastMRI_auroc,MCND_fpr95,MCND_aupr,MCND_auroc,SARAircraft_fpr95,SARAircraft_aupr,SARAircraft_auroc,NewFUSAR_fpr95,NewFUSAR_aupr,NewFUSAR_auroc,Avg_fpr95,Avg_aupr,Avg_auroc
New-FUSAR,嫁接前,HEDL,,,,,,,,,,,,,,,,
New-FUSAR,嫁接前,RS-NN,,,,,,,,,,,,,,,,
New-FUSAR,嫁接前,I-EDL,,,,,,,,,,,,,,,,
New-FUSAR,嫁接前,DUQ,,,,,,,,,,,,,,,,
New-FUSAR,嫁接前,MC-Dropout,,,,,,,,,,,,,,,,
New-FUSAR,嫁接前,Deep Ensembles,,,,,,,,,,,,,,,,
New-FUSAR,嫁接后 SWA-50,Re-EDL (SWA-G),,,,,,,,,,,,,,,,
New-FUSAR,嫁接后 SWA-50,HEDL (SWA-G),,,,,,,,,,,,,,,,
New-FUSAR,嫁接后 SWA-50,RS-NN (SWA-G),,,,,,,,,,,,,,,,
New-FUSAR,嫁接后 SWA-50,I-EDL (SWA-G),,,,,,,,,,,,,,,,
New-FUSAR,嫁接后 SWA-50,DUQ (SWA-G),,,,,,,,,,,,,,,,
New-FUSAR,嫁接后 SWA-50,MC-Dropout (SWA-G),,,,,,,,,,,,,,,,
New-FUSAR,嫁接后 SWA-50,Deep Ensembles (SWA-G),,,,,,,,,,,,,,,,
New-FUSAR,嫁接后 Hyena-50,Re-EDL (Hy-G),,,,,,,,,,,,,,,,
New-FUSAR,嫁接后 Hyena-50,HEDL (Hy-G),,,,,,,,,,,,,,,,
New-FUSAR,嫁接后 Hyena-50,RS-NN (Hy-G),,,,,,,,,,,,,,,,
New-FUSAR,嫁接后 Hyena-50,I-EDL (Hy-G),,,,,,,,,,,,,,,,
New-FUSAR,嫁接后 Hyena-50,DUQ (Hy-G),,,,,,,,,,,,,,,,
New-FUSAR,嫁接后 Hyena-50,MC-Dropout (Hy-G),,,,,,,,,,,,,,,,
New-FUSAR,嫁接后 Hyena-50,Deep Ensembles (Hy-G),,,,,,,,,,,,,,,,
New-FUSAR,嫁接后 Mamba-2,Re-EDL (Mamba-G),,,,,,,,,,,,,,,,
New-FUSAR,嫁接后 Mamba-2,HEDL (Mamba-G),,,,,,,,,,,,,,,,
New-FUSAR,嫁接后 Mamba-2,RS-NN (Mamba-G),,,,,,,,,,,,,,,,
New-FUSAR,嫁接后 Mamba-2,I-EDL (Mamba-G),,,,,,,,,,,,,,,,
New-FUSAR,嫁接后 Mamba-2,DUQ (Mamba-G),,,,,,,,,,,,,,,,
New-FUSAR,嫁接后 Mamba-2,MC-Dropout (Mamba-G),,,,,,,,,,,,,,,,
New-FUSAR,嫁接后 Mamba-2,Deep Ensembles (Mamba-G),,,,,,,,,,,,,,,,
RetinalOCT,嫁接前,Re-EDL,,,,,,,,,,,,,,,,
RetinalOCT,嫁接前,HEDL,,,,,,,,,,,,,,,,
RetinalOCT,嫁接前,RS-NN,,,,,,,,,,,,,,,,
RetinalOCT,嫁接前,I-EDL,,,,,,,,,,,,,,,,
RetinalOCT,嫁接前,DUQ,,,,,,,,,,,,,,,,
RetinalOCT,嫁接前,MC-Dropout,,,,,,,,,,,,,,,,
RetinalOCT,嫁接前,Deep Ensembles,,,,,,,,,,,,,,,,
RetinalOCT,嫁接后 SWA-50,Re-EDL (SWA-G),,,,,,,,,,,,,,,,
RetinalOCT,嫁接后 SWA-50,HEDL (SWA-G),,,,,,,,,,,,,,,,
RetinalOCT,嫁接后 SWA-50,RS-NN (SWA-G),,,,,,,,,,,,,,,,
RetinalOCT,嫁接后 SWA-50,I-EDL (SWA-G),,,,,,,,,,,,,,,,
RetinalOCT,嫁接后 SWA-50,DUQ (SWA-G),,,,,,,,,,,,,,,,
RetinalOCT,嫁接后 SWA-50,MC-Dropout (SWA-G),,,,,,,,,,,,,,,,
RetinalOCT,嫁接后 SWA-50,Deep Ensembles (SWA-G),,,,,,,,,,,,,,,,
RetinalOCT,嫁接后 Hyena-50,Re-EDL (Hy-G),,,,,,,,,,,,,,,,
RetinalOCT,嫁接后 Hyena-50,HEDL (Hy-G),,,,,,,,,,,,,,,,
RetinalOCT,嫁接后 Hyena-50,RS-NN (Hy-G),,,,,,,,,,,,,,,,
RetinalOCT,嫁接后 Hyena-50,I-EDL (Hy-G),,,,,,,,,,,,,,,,
RetinalOCT,嫁接后 Hyena-50,DUQ (Hy-G),,,,,,,,,,,,,,,,
RetinalOCT,嫁接后 Hyena-50,MC-Dropout (Hy-G),,,,,,,,,,,,,,,,
RetinalOCT,嫁接后 Hyena-50,Deep Ensembles (Hy-G),,,,,,,,,,,,,,,,
RetinalOCT,嫁接后 Mamba-2,Re-EDL (Mamba-G),,,,,,,,,,,,,,,,
RetinalOCT,嫁接后 Mamba-2,HEDL (Mamba-G),,,,,,,,,,,,,,,,
RetinalOCT,嫁接后 Mamba-2,RS-NN (Mamba-G),,,,,,,,,,,,,,,,
RetinalOCT,嫁接后 Mamba-2,I-EDL (Mamba-G),,,,,,,,,,,,,,,,
RetinalOCT,嫁接后 Mamba-2,DUQ (Mamba-G),,,,,,,,,,,,,,,,
RetinalOCT,嫁接后 Mamba-2,MC-Dropout (Mamba-G),,,,,,,,,,,,,,,,
RetinalOCT,嫁接后 Mamba-2,Deep Ensembles (Mamba-G),,,,,,,,,,,,,,,,
